ID,Lon,Lat,gfdl-esm2g,canesm2,cnrm-cm5,csiro-mk3-6-0,inmcm4,miroc5,mpi-esm-lr,mri-cgcm3,ccsm4,noresm1-m,bcc-csm1-1,ipsl-cm5a-lr,ipsl-cm5a-mr,gfdl-cm3,gfdl-esm2m
3,-83.1250,8.3750,6.7727,8.0493,7.8098,7.3351,7.6937,7.9830,7.6318,6.6181,8.0931,7.7587,7.8694,7.9821,7.1196,7.0298,7.1793
5,-83.6250,8.6250,6.4585,7.6676,7.6168,7.0247,7.2999,7.7913,7.3718,6.6620,7.6528,7.5819,7.4939,7.7380,6.7647,6.6675,6.8286
7,-83.1250,8.6250,7.7424,8.9904,8.7370,8.1958,8.5791,8.9493,8.5603,7.5615,9.0143,8.7183,8.7948,8.9890,8.0665,8.0771,8.2028
9,-83.3750,8.8750,7.6399,8.7428,8.6219,7.9990,8.3256,8.8384,8.4196,7.5539,8.7173,8.5956,8.5510,8.8351,7.8843,7.9598,8.0762
10,-83.1250,8.8750,8.2049,9.3331,9.0886,8.5196,8.8912,9.3134,8.9331,7.9979,9.3198,9.0905,9.1361,9.4095,8.4923,8.5902,8.6959
12,-83.6250,9.1250,6.8895,7.7264,7.7903,7.1681,7.4636,8.0531,7.5852,6.9587,7.7163,7.6663,7.4760,7.8614,7.2091,7.0882,7.2795
13,-83.3750,9.1250,7.6629,8.6294,8.5408,7.9387,8.2616,8.8288,8.3726,7.4731,8.6040,8.4509,8.3330,8.7106,8.0293,7.9135,8.1218
14,-83.1250,9.1250,8.1520,9.1863,8.9382,8.4033,8.7633,9.2470,8.8224,7.8548,9.1621,8.8992,8.8579,9.2348,8.5854,8.4333,8.6741
16,-84.1250,9.3750,6.4247,6.8704,6.9174,6.3744,6.6677,7.1026,6.9932,6.5014,7.1762,6.8773,6.6761,6.9738,6.2902,6.6153,6.8333
17,-83.8750,9.3750,7.4068,8.2030,8.3981,7.5620,7.8577,8.6731,8.0907,7.7062,8.3579,8.2200,7.9304,8.3515,7.7515,7.6339,7.8276
18,-83.6250,9.3750,7.7472,8.6892,8.7781,7.9715,8.2859,9.0725,8.4948,7.8409,8.6554,8.6200,8.3851,8.8102,8.2223,7.9882,8.2131
19,-83.3750,9.3750,7.7595,8.7640,8.7393,7.9968,8.3026,9.0284,8.4841,7.5779,8.7191,8.5944,8.4458,8.8552,8.2926,7.9456,8.2578
20,-83.1250,9.3750,7.7946,8.8524,8.7170,8.0362,8.3720,9.0163,8.4804,7.5670,8.8123,8.5930,8.5157,8.9242,8.4163,7.9295,8.3283
21,-85.1250,9.6250,5.5295,5.7310,5.9654,5.3978,5.4691,6.0739,5.9091,5.5386,6.0557,5.6543,5.5801,5.8198,4.9411,5.6445,5.7963
23,-84.6250,9.6250,5.8285,6.0373,6.2046,5.6734,5.8261,6.3320,6.2493,5.8286,6.3806,6.0765,5.8879,6.2107,5.5756,5.9252,6.1532
24,-84.3750,9.6250,5.6929,5.9431,6.0614,5.5516,5.7197,6.1484,6.1440,5.6711,6.2470,5.9915,5.8117,6.1221,5.5343,5.8077,6.0476
25,-84.1250,9.6250,6.7739,7.1825,7.3305,6.6392,6.8780,7.4775,7.3370,6.8350,7.4681,7.2183,6.9958,7.3481,6.7599,6.9678,7.2085
26,-83.8750,9.6250,9.1663,10.1928,10.3928,9.2293,9.5528,10.7343,9.9622,9.6141,10.2631,10.1686,9.8242,10.2765,9.7523,9.5251,9.7345
27,-83.6250,9.6250,9.5359,10.7476,10.8599,9.6789,10.0848,11.2487,10.3899,9.7728,10.6156,10.6255,10.3275,10.8042,10.3242,9.8842,10.1664
28,-83.3750,9.6250,8.1791,9.2968,9.3295,8.3541,8.7335,9.6728,8.9191,8.1560,9.2051,9.1179,8.9191,9.3567,8.9785,8.3420,8.7499
29,-83.1250,9.6250,7.3864,8.4825,8.4525,7.5852,7.9910,8.7820,8.0499,7.3558,8.4180,8.2467,8.1157,8.5371,8.2461,7.4295,7.9315
31,-85.3750,9.8750,5.3232,5.5175,5.7230,5.1958,5.4043,5.8259,5.6817,5.1899,5.7161,5.3046,5.3660,5.5427,4.3782,5.4125,5.5514
32,-85.1250,9.8750,5.8514,6.0525,6.2963,5.6881,5.9455,6.3828,6.2439,5.7571,6.2795,5.9483,5.9000,6.1407,5.3078,5.9612,6.1203
34,-84.6250,9.8750,6.6419,6.8620,7.0617,6.3887,6.7246,7.1919,7.0774,6.6113,7.1904,6.9136,6.6960,7.0809,6.5098,6.7474,6.9964
35,-84.3750,9.8750,6.5494,6.8431,6.9955,6.2773,6.6123,7.0887,7.0180,6.5629,7.1211,6.8927,6.6828,7.0481,6.5486,6.6862,6.9365
36,-84.1250,9.8750,7.7273,8.2112,8.3821,7.4327,7.8262,8.5551,8.3006,7.8779,8.4233,8.2346,7.9787,8.3903,7.9367,7.9555,8.2136
37,-83.8750,9.8750,10.2037,11.3561,11.5466,10.0947,10.5292,11.9318,11.0042,10.8286,11.2679,11.2899,10.9210,11.3854,11.0963,10.6615,10.9023
38,-83.6250,9.8750,10.4601,11.8233,11.9718,10.4567,10.8829,12.4132,11.3160,11.0890,11.5244,11.6538,11.3248,11.8270,11.6001,10.8699,11.2320
39,-83.3750,9.8750,8.7252,10.0252,10.1233,8.8377,9.1757,10.5289,9.4945,9.2507,9.8092,9.8072,9.5706,10.0351,9.8964,8.8767,9.3998
40,-83.1250,9.8750,7.5936,8.8749,8.9454,7.8024,8.0810,9.3233,8.3104,8.0293,8.7217,8.6131,8.4441,8.8988,8.8173,7.5624,8.2080
42,-85.6250,10.1250,4.7602,4.9217,4.9940,4.6147,4.9248,5.1422,4.9551,4.5866,5.1639,4.6150,4.7782,4.8589,3.5123,4.8106,4.9442
43,-85.3750,10.1250,4.9787,5.1613,5.2460,4.8320,5.1425,5.3775,5.2064,4.7951,5.4031,4.8946,5.0312,5.1288,4.1181,5.0462,5.1855
45,-84.8750,10.1250,7.2238,7.5356,7.7289,6.8972,7.5137,7.8721,7.5500,7.2417,7.9732,7.4309,7.2610,7.6041,7.1999,7.2788,7.4873
46,-84.6250,10.1250,8.0575,8.5083,8.5701,7.6100,8.3450,8.7278,8.4082,8.1119,8.8785,8.3724,8.1945,8.5694,8.2001,8.1644,8.3826
47,-84.3750,10.1250,8.5021,9.1348,9.0205,7.9403,8.7856,9.1848,8.8844,8.6141,9.3558,8.9192,8.7971,9.1355,8.8245,8.6768,8.8904
48,-84.1250,10.1250,9.2941,10.1459,10.0309,8.7517,9.6089,10.2808,9.7757,9.5942,10.1998,9.8254,9.7358,10.0699,9.8410,9.5605,9.7658
49,-83.8750,10.1250,10.5929,11.5909,11.5199,10.0050,10.7092,11.8324,11.0648,10.9384,11.4038,11.2206,11.0076,11.6167,11.5013,10.8073,11.0750
50,-83.6250,10.1250,10.6489,11.8711,11.6579,10.1751,10.6871,12.0627,11.1371,11.0476,11.4840,11.3410,11.2288,11.8050,11.7329,10.7420,11.1834
51,-83.3750,10.1250,9.5591,10.9552,10.6318,9.3339,9.6151,11.0916,10.0976,10.0380,10.6636,10.3252,10.3172,10.8181,10.7814,9.3764,10.0738
54,-85.6250,10.3750,4.6519,4.8554,4.7956,4.5606,4.8595,4.9075,4.9227,4.2826,5.0183,4.5870,4.7221,4.7340,3.6730,4.7060,4.8086
55,-85.3750,10.3750,4.9069,5.1298,5.0924,4.7981,5.1234,5.1936,5.1994,4.5028,5.2816,4.8628,5.0095,5.0442,4.2712,4.9752,5.0919
56,-85.1250,10.3750,5.7654,6.0273,6.0111,5.5803,6.0278,6.1153,6.0905,5.4078,6.1941,5.7670,5.9174,6.0113,5.5381,5.8600,5.9937
57,-84.8750,10.3750,7.4620,7.8444,7.8030,7.1111,7.7946,7.9552,7.8238,7.1805,8.1070,7.6415,7.5672,7.8495,7.6265,7.5130,7.7223
58,-84.6250,10.3750,8.4936,9.0311,8.8259,7.9688,8.8443,8.9938,8.8540,8.2262,9.2513,8.7670,8.7115,9.0260,8.8484,8.5884,8.8272
59,-84.3750,10.3750,9.1075,9.8398,9.4373,8.4172,9.4693,9.6063,9.4722,8.8903,9.9478,9.4752,9.4910,9.7752,9.6577,9.2602,9.5181
60,-84.1250,10.3750,9.8800,10.8251,10.4646,9.2181,10.2837,10.7256,10.3350,9.9851,10.8112,10.3506,10.4000,10.6936,10.6679,10.1076,10.3828
61,-83.8750,10.3750,10.9194,12.0658,11.7598,10.3033,11.0113,12.0808,11.4294,11.1884,11.7336,11.5330,11.4577,12.0835,12.1133,11.1156,11.4362
62,-83.6250,10.3750,10.9004,12.3166,11.8607,10.4672,10.7127,12.2717,11.4696,11.3120,11.7652,11.6123,11.6477,12.2269,12.3097,10.9350,11.4781
65,-85.6250,10.6250,4.6901,4.9182,4.8124,4.6370,4.9447,4.9132,5.0328,4.0894,5.0252,4.6741,4.7928,4.8166,3.9657,4.7377,4.8110
66,-85.3750,10.6250,5.3389,5.5975,5.5085,5.2373,5.6316,5.6096,5.7069,4.6262,5.6781,5.3502,5.4741,5.5484,4.8958,5.3901,5.4996
67,-85.1250,10.6250,6.2347,6.5390,6.4678,6.0523,6.5801,6.5799,6.6253,5.5885,6.5975,6.3126,6.4321,6.5592,6.2131,6.3059,6.4446
68,-84.8750,10.6250,7.5766,7.9985,7.8513,7.2418,7.9498,8.0267,7.9648,6.9711,8.0844,7.8334,7.7352,8.0127,7.9251,7.6026,7.8319
69,-84.6250,10.6250,8.2901,8.8425,8.5519,7.8257,8.6719,8.7290,8.6698,7.6985,8.9061,8.6228,8.5596,8.8391,8.8179,8.3435,8.6169
70,-84.3750,10.6250,8.5866,9.2899,8.8570,8.0211,8.9656,9.0062,8.9748,8.0592,9.2947,8.9900,8.9972,9.2348,9.2730,8.6750,8.9840
71,-84.1250,10.6250,9.5905,10.5128,10.1344,9.0522,10.0233,10.3729,10.0821,9.4868,10.4594,10.1081,10.1361,10.4021,10.5300,9.7354,10.0949
72,-83.8750,10.6250,11.3284,12.6198,12.2671,10.9041,11.3877,12.6138,12.0150,11.5290,12.1594,12.1587,12.0043,12.6608,12.7906,11.5059,11.8980
73,-83.6250,10.6250,11.4366,13.0581,12.5649,11.2655,10.9721,12.9869,12.2593,11.8600,12.3742,12.4265,12.3748,13.0042,13.1650,11.3971,12.0821
76,-85.6250,10.8750,4.6904,4.9575,4.8856,4.6878,4.9741,4.9915,5.0911,4.1832,5.0056,4.7456,4.8472,4.8782,4.2202,4.7305,4.7872
77,-85.3750,10.8750,5.4285,5.7286,5.6749,5.3679,5.7638,5.7964,5.8578,4.8094,5.7292,5.5190,5.6234,5.7054,5.2127,5.4621,5.5644
78,-85.1250,10.8750,6.2483,6.5940,6.5690,6.1204,6.6376,6.7022,6.6943,5.7048,6.5441,6.4262,6.5075,6.6294,6.4207,6.2969,6.4356
79,-84.8750,10.8750,7.3176,7.7615,7.6847,7.0570,7.7046,7.8569,7.7360,6.8160,7.6946,7.6583,7.5337,7.7807,7.7865,7.3167,7.5610
80,-84.6250,10.8750,8.0580,8.6249,8.4482,7.6877,8.4621,8.6248,8.4764,7.5852,8.5741,8.4779,8.3828,8.6298,8.7147,8.0728,8.3802
81,-84.3750,10.8750,8.6438,9.3812,9.0910,8.1710,9.0644,9.2467,9.0940,8.2418,9.3113,9.1489,9.1190,9.3309,9.4937,8.6860,9.0533
82,-84.1250,10.8750,9.5722,10.5139,10.2919,9.1500,10.0391,10.5265,10.1273,9.5746,10.4380,10.1918,10.1729,10.4177,10.6772,9.6543,10.0925
83,-83.8750,10.8750,10.7879,12.1328,11.9725,10.6091,10.8041,12.3166,11.6124,11.1532,11.6293,11.8167,11.5702,12.1802,12.3947,10.9379,11.3763
84,-83.6250,10.8750,10.8325,12.5171,12.2533,10.9427,10.1276,12.6513,11.8326,11.4574,11.8159,12.0562,11.8933,12.4912,12.7192,10.7288,11.4959
86,-85.6250,11.1250,4.7145,5.0837,5.1348,4.7998,5.0336,5.1888,5.2612,4.4376,5.1369,4.8980,4.9351,5.0236,4.4344,4.7770,4.7792
87,-85.3750,11.1250,5.2256,5.6256,5.6661,5.2453,5.5644,5.7291,5.7833,4.8812,5.6467,5.4633,5.4681,5.6020,5.1765,5.2842,5.3158
88,-85.1250,11.1250,5.8334,6.2799,6.3113,5.7899,6.1920,6.3834,6.3928,5.5285,6.2621,6.1780,6.1105,6.2965,6.0900,5.9011,5.9724
89,-84.8750,11.1250,6.5723,7.0740,7.0246,6.4263,6.9195,7.1272,7.1054,6.2272,7.0444,6.9764,6.8717,7.1389,7.0372,6.5946,6.7301
90,-84.6250,11.1250,7.6457,8.2909,8.1684,7.3829,8.0288,8.2901,8.2075,7.3132,8.2636,8.1598,8.0611,8.3681,8.2938,7.6827,7.8881
91,-84.3750,11.1250,9.0799,9.9811,9.7415,8.6478,9.5202,9.8841,9.7153,8.7931,9.9126,9.7536,9.6966,10.0174,9.9854,9.1504,9.4307
95,-85.8750,11.3750,4.3450,4.6563,4.6533,4.4035,4.5698,4.6987,4.7988,4.1749,4.6997,4.4795,4.5178,4.5192,4.0532,4.3743,4.3754
96,-85.6250,11.3750,4.6321,4.9442,4.9629,4.6494,4.8708,5.0142,5.0887,4.3367,4.9792,4.7788,4.8125,4.8580,4.4672,4.6610,4.6842
97,-85.3750,11.3750,4.9663,5.2871,5.3097,4.9263,5.2170,5.3678,5.4152,4.6077,5.2960,5.1478,5.1572,5.2411,4.9598,4.9963,5.0436
98,-85.1250,11.3750,5.6115,5.9710,5.9995,5.5131,5.8877,6.0661,6.0656,5.2683,5.9407,5.8847,5.8333,5.9673,5.8210,5.6492,5.7340
99,-84.8750,11.3750,6.6029,7.0244,6.9840,6.3972,6.8829,7.0867,7.0475,6.1880,6.9637,6.9379,6.8541,7.0661,6.9640,6.5994,6.7478
100,-84.6250,11.3750,7.8861,8.4482,8.3514,7.5566,8.2108,8.4790,8.3634,7.4548,8.3824,8.3413,8.2520,8.5076,8.4403,7.8956,8.1156
105,-86.1250,11.6250,4.1133,4.2932,4.2401,4.0532,4.1256,4.3660,4.4003,3.9068,4.2744,4.2000,4.1649,4.1249,3.6360,4.0746,4.1016
106,-85.8750,11.6250,4.2223,4.4764,4.4424,4.2045,4.4271,4.4913,4.5969,4.0189,4.4993,4.3164,4.3544,4.3133,3.9177,4.2198,4.2380
107,-85.6250,11.6250,4.4454,4.6932,4.6781,4.3939,4.6571,4.7330,4.8110,4.1269,4.7132,4.5482,4.5807,4.5812,4.2694,4.4447,4.4812
108,-85.3750,11.6250,4.6317,4.8782,4.8830,4.5510,4.8433,4.9294,4.9795,4.2762,4.8771,4.7644,4.7718,4.8167,4.6039,4.6399,4.6949
109,-85.1250,11.6250,5.5404,5.8239,5.8508,5.3904,5.7956,5.9132,5.9024,5.1547,5.7808,5.7527,5.7118,5.8094,5.7103,5.5500,5.6472
110,-84.8750,11.6250,7.2009,7.5814,7.5390,6.8906,7.5164,7.6669,7.5824,6.6639,7.4671,7.4995,7.4282,7.5975,7.5734,7.1653,7.3367
111,-84.6250,11.6250,8.5336,9.0442,8.9654,8.0967,8.9022,9.1109,8.9377,7.9708,8.9152,8.9537,8.8698,9.0738,9.1005,8.5109,8.7545
117,-86.3750,11.8750,3.7718,3.9611,3.8909,3.6700,3.6973,3.9928,3.9683,3.6026,3.9086,3.8863,3.8231,3.7074,3.2212,3.6672,3.7631
118,-86.1250,11.8750,3.9758,4.1340,4.0678,3.8637,4.0101,4.1775,4.2025,3.7899,4.1052,4.0665,4.0143,3.9369,3.5084,3.9210,3.9619
119,-85.8750,11.8750,4.1298,4.3300,4.2711,4.0473,4.3137,4.3212,4.4252,3.9151,4.3545,4.1909,4.2225,4.1508,3.7980,4.1025,4.1355
120,-85.6250,11.8750,4.3987,4.5922,4.5492,4.2847,4.5943,4.6072,4.6855,4.0763,4.6158,4.4641,4.4944,4.4620,4.1892,4.3722,4.4228
121,-85.3750,11.8750,4.6655,4.8590,4.8482,4.5276,4.8662,4.8954,4.9404,4.3023,4.8665,4.7600,4.7692,4.7820,4.6096,4.6478,4.7144
122,-85.1250,11.8750,5.6281,5.8554,5.8748,5.4193,5.8764,5.9397,5.9174,5.2254,5.8181,5.7933,5.7629,5.8183,5.7646,5.6084,5.7205
123,-84.8750,11.8750,7.3311,7.6323,7.5996,6.9493,7.6506,7.7342,7.6232,6.7553,7.5242,7.5624,7.5090,7.6171,7.6888,7.2668,7.4502
130,-86.6250,12.1250,3.5845,3.7371,3.7760,3.5053,3.5157,3.8260,3.7678,3.5087,3.8227,3.6417,3.6023,3.4725,2.9702,3.4011,3.5830
