ID,Lon,Lat,gfdl-esm2g,canesm2,cnrm-cm5,csiro-mk3-6-0,inmcm4,miroc5,mpi-esm-lr,mri-cgcm3,ccsm4,noresm1-m,bcc-csm1-1,ipsl-cm5a-lr,ipsl-cm5a-mr,gfdl-cm3,gfdl-esm2m
3,-83.1250,8.3750,85.1000,109.7000,102.4333,85.5333,80.2000,95.7000,96.3000,97.6667,91.6667,90.6667,101.4334,92.0000,84.0333,79.0333,89.0667
5,-83.6250,8.6250,87.0000,111.3334,110.2334,84.9000,79.3333,99.6667,101.3334,99.3000,91.6334,89.1000,105.0666,92.4000,86.5666,85.3333,79.0334
7,-83.1250,8.6250,85.9333,110.6333,102.9666,86.1666,82.5667,95.3000,96.8333,97.2333,94.2667,88.3000,105.4667,93.2333,82.6000,87.4333,84.9667
9,-83.3750,8.8750,85.7000,115.3000,107.2000,85.9333,81.5667,101.2000,102.5000,96.7000,95.8000,90.6334,106.6000,97.3334,86.5000,90.0000,83.2000
10,-83.1250,8.8750,86.5333,118.2334,103.8000,89.3667,83.5666,98.4333,107.0000,99.6334,95.9667,92.6334,107.1000,99.6667,88.0000,94.2000,86.6667
12,-83.6250,9.1250,85.7334,112.6666,104.9000,89.7667,83.3000,100.4000,102.5334,99.5667,93.2333,90.2000,110.6000,99.1667,89.9333,98.3000,82.9333
13,-83.3750,9.1250,91.8334,115.8000,109.0000,93.1000,86.1000,99.5333,109.3667,105.5334,98.3000,99.6000,113.4333,105.4333,100.0000,104.0000,89.6000
14,-83.1250,9.1250,93.4667,117.3000,107.6333,96.3334,88.8334,99.3666,114.2667,106.7333,100.0667,104.8000,110.7000,110.7000,101.1000,106.1333,90.8667
16,-84.1250,9.3750,73.4667,95.3000,88.0333,75.7000,72.0333,82.2667,82.3000,79.7667,79.8000,71.8667,83.6000,69.8333,70.4000,79.8000,76.6334
17,-83.8750,9.3750,81.4334,105.7000,99.7334,86.4000,80.4667,93.8333,95.3000,96.7000,91.9334,88.1000,100.9334,88.6000,85.3333,96.3333,77.2000
18,-83.6250,9.3750,80.9666,107.7667,105.5333,88.6333,80.8667,95.4334,98.3667,98.6000,91.6667,88.3667,104.0667,90.9000,87.1000,99.6333,77.1667
19,-83.3750,9.3750,92.0334,115.4333,108.3000,91.2333,87.2000,100.3667,108.5666,99.9000,96.9000,99.9667,113.1000,106.8000,102.1666,104.4333,86.7667
20,-83.1250,9.3750,93.6666,116.3333,107.8000,93.7334,88.7667,96.6334,111.5000,98.4333,99.1000,105.3000,111.4000,111.6334,98.2667,104.8000,87.9000
21,-85.1250,9.6250,69.1000,84.1000,78.7666,72.3333,71.2333,74.9000,82.3334,86.3333,76.4667,68.7333,80.7667,62.7666,55.5666,67.8333,71.7000
23,-84.6250,9.6250,74.0000,92.9667,82.7334,75.3000,76.5000,85.1000,83.4333,83.0000,74.3333,71.0000,82.5667,67.4334,66.4666,75.0666,74.1333
24,-84.3750,9.6250,74.3333,97.7333,88.7000,77.0000,77.1666,86.1333,88.6000,83.2666,76.3667,76.6666,89.2667,79.1666,72.3667,84.1333,76.9666
25,-84.1250,9.6250,73.0334,96.5333,88.2666,77.7334,75.2667,83.0000,84.0333,81.1333,78.7667,76.6666,86.0000,76.0667,73.3333,83.6334,76.1333
26,-83.8750,9.6250,78.2667,103.8000,99.5333,86.0666,80.4334,91.2334,96.2000,96.8333,90.5333,88.0000,97.4667,86.0667,80.3333,90.4666,76.1000
27,-83.6250,9.6250,77.5666,104.1000,100.1333,84.9333,77.1000,91.6333,93.8000,95.7667,90.7666,84.6000,94.4000,83.8333,80.6667,90.0000,74.7667
28,-83.3750,9.6250,83.3333,109.3000,100.8000,83.9333,80.2666,93.2000,97.1000,89.2667,93.8667,86.3000,101.2666,89.7333,87.6000,91.7000,76.6000
29,-83.1250,9.6250,82.9333,110.5333,93.9334,81.3667,76.4333,85.9667,90.3000,84.2333,85.3333,85.9000,101.2000,90.7000,85.6333,89.8000,76.1333
31,-85.3750,9.8750,71.7666,90.5334,77.5000,76.7666,71.5667,77.8333,83.1667,79.5666,76.3334,71.1000,82.4666,64.8666,61.1666,68.1667,73.5000
32,-85.1250,9.8750,70.4333,88.9333,77.7333,75.3000,74.3000,81.5333,80.3666,82.2667,74.6667,71.7667,81.1333,64.8333,61.0667,72.1667,73.4667
34,-84.6250,9.8750,70.5333,87.4000,80.9000,73.6000,70.3666,79.3334,81.4334,80.4334,71.9000,66.6333,75.2666,65.1000,64.7333,71.3666,71.6667
35,-84.3750,9.8750,73.7333,90.9333,85.0334,73.6334,71.7334,79.8333,85.2000,77.4000,73.6333,70.0000,79.7000,70.0000,69.4334,75.6667,75.5667
36,-84.1250,9.8750,70.3666,88.5333,79.1000,73.9666,69.7000,75.6000,80.9667,77.0667,71.8000,68.1667,79.9667,71.1000,67.1000,77.0667,73.0334
37,-83.8750,9.8750,76.1334,99.3667,88.4333,79.0667,73.5666,89.6667,86.8333,91.0667,84.2666,84.0000,88.1667,80.1000,74.5334,80.0667,71.8333
38,-83.6250,9.8750,68.6334,94.8000,81.6000,78.8667,70.3333,84.6000,80.9000,80.9667,79.9667,78.8333,86.8334,74.3000,70.9000,74.8666,67.0000
39,-83.3750,9.8750,62.8666,90.7000,80.6667,74.9333,61.5334,79.7333,79.4667,77.0000,79.4333,68.6000,87.4666,75.2000,71.1000,72.6000,66.2000
40,-83.1250,9.8750,59.9667,83.6334,73.0334,67.8000,59.5000,72.9333,71.5333,63.0333,66.5334,61.6333,79.6667,72.2333,62.4667,66.9333,67.3000
42,-85.6250,10.1250,77.1000,95.2000,87.0333,83.8334,84.1334,86.1334,87.5000,88.4334,86.0333,81.0667,84.3000,75.3333,75.6334,79.2333,76.3334
43,-85.3750,10.1250,79.2666,99.1000,89.8666,86.4000,83.6333,85.1667,89.0666,94.8333,89.5000,81.3000,88.7333,75.4667,75.3666,84.9334,78.6333
45,-84.8750,10.1250,79.6333,94.7000,90.8333,84.3667,78.4666,82.5333,89.7000,90.5000,83.4667,83.3333,86.8667,78.5000,74.3000,85.1000,75.1667
46,-84.6250,10.1250,75.4000,88.8667,87.6333,76.6000,72.0333,77.6667,87.1000,88.8000,83.0000,76.7666,80.0334,70.6667,71.8000,75.9667,72.6000
47,-84.3750,10.1250,70.8667,85.5666,81.4667,71.2333,69.2334,75.1666,84.4333,86.1000,75.5667,70.2333,79.8333,69.4334,62.3333,61.5334,64.6666
48,-84.1250,10.1250,62.9000,80.3333,75.3667,61.9666,63.2000,69.6333,69.6000,70.6667,72.7667,61.5667,72.6000,67.2666,55.8333,55.7000,56.2333
49,-83.8750,10.1250,56.6000,67.0000,66.4000,54.3667,54.7667,62.2666,65.0000,64.3334,58.4666,56.4000,64.8667,55.6334,50.0667,55.1667,64.0334
50,-83.6250,10.1250,54.2000,63.0333,58.9667,52.1667,47.5666,58.3666,56.0667,61.0667,52.4333,55.9333,62.7333,57.1333,48.7666,47.0000,60.8667
51,-83.3750,10.1250,47.2333,53.3667,56.7000,44.2333,44.6000,56.1000,54.3667,54.4667,51.0666,49.0000,59.8333,58.3667,51.2333,46.3333,62.3000
54,-85.6250,10.3750,83.6666,91.3333,87.1000,87.1666,83.0666,85.3667,90.2333,89.4667,88.7667,78.5000,85.9000,75.6333,76.4667,82.8666,82.6667
55,-85.3750,10.3750,80.3333,92.4000,89.4334,87.8666,83.3333,85.1666,91.6667,89.7333,90.0333,81.5666,86.6333,74.7333,76.4666,84.3000,80.9334
56,-85.1250,10.3750,74.2334,89.8000,81.6667,84.4000,82.0667,79.9667,87.4000,86.5333,82.5000,75.4000,82.2000,75.5667,74.6666,78.5000,74.0000
57,-84.8750,10.3750,75.1667,88.9000,81.9667,78.6334,74.0333,75.5000,87.1334,85.7000,83.0334,79.3334,81.1333,69.8000,71.5667,71.9666,69.6000
58,-84.6250,10.3750,67.1667,80.9000,75.2667,66.6667,68.6667,74.3667,80.1000,76.1000,76.4000,65.4000,72.6000,66.8333,64.9333,58.2333,60.5333
59,-84.3750,10.3750,57.0334,71.9334,71.9333,61.8000,59.7667,69.4000,68.0667,66.4667,66.4000,61.4000,65.4333,57.1334,51.5667,49.5000,54.9333
60,-84.1250,10.3750,41.6333,61.5334,63.3000,52.5334,44.9667,56.8333,59.5666,61.1000,52.6667,54.3666,60.6333,53.6000,46.8667,44.3000,52.7000
61,-83.8750,10.3750,47.4000,53.9333,55.7000,48.7333,44.5667,53.2333,48.5000,53.1000,49.3334,44.4334,52.3667,47.2666,45.7333,42.6000,56.3334
