ID,Lon,Lat,gfdl-esm2g,canesm2,cnrm-cm5,csiro-mk3-6-0,inmcm4,miroc5,mpi-esm-lr,mri-cgcm3,ccsm4,noresm1-m,bcc-csm1-1,ipsl-cm5a-lr,ipsl-cm5a-mr,gfdl-cm3,gfdl-esm2m
3,-83.1250,8.3750,10.6785,10.1331,12.8624,12.5778,13.9066,12.0509,12.1331,14.0819,13.5669,12.0641,11.7066,11.5904,9.0016,8.4785,11.6217
5,-83.6250,8.6250,10.4600,10.0667,13.3760,12.6248,14.2810,13.2152,11.9723,13.7137,13.9828,12.7476,11.8607,12.9236,9.8146,8.8367,11.4102
7,-83.1250,8.6250,11.8283,11.0892,14.4774,13.5802,14.3346,13.3759,12.4534,15.4134,14.4474,13.3268,12.8412,12.7002,9.7687,9.7891,13.0450
9,-83.3750,8.8750,12.1777,11.3830,15.1758,13.5412,14.1168,14.7201,12.4881,15.2427,14.8516,13.5015,13.2050,13.0712,10.9045,10.6525,13.7228
10,-83.1250,8.8750,12.9401,12.1640,15.9966,14.2899,14.3706,15.0831,13.1249,16.2100,15.4255,13.7992,13.9815,13.3375,11.3601,11.4585,14.6427
12,-83.6250,9.1250,12.0606,10.8275,15.2274,13.2523,13.1526,15.2292,11.9279,14.3852,13.5479,12.8819,12.1846,12.1109,11.1061,10.2271,13.2860
13,-83.3750,9.1250,13.5057,12.7548,16.6789,14.5629,14.0580,16.3250,13.5090,16.0072,15.0714,14.3047,13.9544,13.3539,12.6497,11.7667,14.9000
14,-83.1250,9.1250,14.1822,13.6491,17.2298,15.0024,14.3866,16.6309,14.0453,16.6054,15.7086,14.7204,14.7172,13.5991,13.1954,12.3651,15.6552
16,-84.1250,9.3750,11.8279,9.0470,12.7030,11.0111,11.0567,11.6713,10.9744,11.9552,11.5567,10.1408,10.5490,10.0286,8.5493,9.9304,12.2684
17,-83.8750,9.3750,12.1016,10.4436,14.9478,13.3885,12.6340,14.9089,11.6029,15.3377,13.5225,13.1082,12.1271,11.5759,10.9007,10.2194,13.4120
18,-83.6250,9.3750,12.1305,11.0799,14.9253,13.5619,12.7031,14.8080,11.8564,15.2600,13.4362,13.2207,12.7206,11.8693,10.7475,10.5406,13.4629
19,-83.3750,9.3750,12.7584,12.2961,15.1347,13.7987,12.9323,14.9819,12.6047,15.4171,13.8492,13.6673,13.5204,12.4028,11.7548,10.9536,14.0653
20,-83.1250,9.3750,12.7004,12.5009,14.6810,13.4437,12.6070,14.4619,12.4290,15.1460,13.5727,13.2164,13.4977,12.0567,11.1645,10.7593,13.9804
21,-85.1250,9.6250,11.2538,8.5273,13.6550,10.0535,10.0599,12.5393,11.2083,12.9648,10.4038,8.9655,10.0141,9.5686,7.1672,9.2226,11.4549
23,-84.6250,9.6250,11.5759,8.6004,12.5336,10.5364,9.9855,11.8801,11.0246,11.6303,10.5736,9.5597,10.0303,9.7058,8.2289,9.5000,11.8923
24,-84.3750,9.6250,11.3492,8.8554,12.3799,10.5457,9.9242,11.2601,11.0069,11.0022,10.7328,9.9374,10.2647,10.1930,8.4240,9.8208,11.7915
25,-84.1250,9.6250,12.1677,9.5592,13.2897,11.5674,10.7025,12.1717,11.4290,12.5735,11.8336,10.8772,11.0927,10.6584,9.3343,10.5894,12.7593
26,-83.8750,9.6250,13.2112,12.0080,16.1203,15.0312,13.3007,15.9807,12.7809,17.8933,14.6485,14.7786,14.0320,12.6541,10.9126,11.3280,15.0345
27,-83.6250,9.6250,12.5669,11.8474,15.1598,14.5436,12.9355,15.0304,11.9067,16.6758,13.9833,13.9948,14.0414,11.9684,10.6921,10.7201,14.4885
28,-83.3750,9.6250,11.3093,10.5315,12.6247,12.1248,11.0480,12.6700,10.4520,13.8174,11.8945,11.3936,12.1485,9.9912,9.4276,9.0677,12.3997
29,-83.1250,9.6250,9.6996,9.3437,10.6177,10.2243,8.9560,10.3275,8.3112,11.9632,10.0570,9.4147,10.6007,8.2122,8.1373,7.4953,10.6387
31,-85.3750,9.8750,11.4998,9.2526,14.2324,10.8047,10.6759,13.9382,11.9602,13.9588,11.0327,9.5143,10.4389,10.1653,7.3234,9.5570,11.8032
32,-85.1250,9.8750,12.0879,9.6116,14.9709,11.2945,11.0453,13.9983,12.0992,14.0868,11.1560,10.0810,11.0252,10.5942,8.3460,10.4795,12.3897
34,-84.6250,9.8750,12.2852,9.0034,13.7705,11.5021,10.4964,12.6524,11.7730,12.9977,11.1851,10.2771,10.6826,10.5160,9.1189,10.1226,12.4763
35,-84.3750,9.8750,11.7529,8.6254,12.7361,10.9959,9.8993,11.6987,10.9391,11.7815,10.8729,10.0919,10.2225,9.8435,8.9243,9.8282,12.2100
36,-84.1250,9.8750,12.1444,9.0737,12.9027,11.6591,10.2520,11.9014,10.9496,12.8261,11.4294,10.7046,11.0134,10.1621,9.1998,10.3294,12.4807
37,-83.8750,9.8750,12.8300,11.5456,15.0670,14.6885,12.4026,15.2434,11.7559,16.8686,13.9783,14.0785,13.4055,11.5990,10.3835,10.4543,14.4361
38,-83.6250,9.8750,11.4347,10.9421,13.1001,13.7998,11.2228,13.4398,10.4943,15.4350,12.4943,12.8476,13.0183,10.4150,9.2505,9.4501,13.4265
39,-83.3750,9.8750,8.5057,8.5771,10.1424,10.3360,8.3968,9.9992,7.6366,12.5410,9.9892,8.9704,10.4726,7.9858,7.3051,7.1949,10.8039
40,-83.1250,9.8750,7.1148,7.1096,7.9296,8.4029,6.8203,8.1442,6.2299,9.8606,7.9413,6.9081,8.2708,5.9796,6.1737,5.4538,9.2749
42,-85.6250,10.1250,11.0272,8.8032,14.6147,11.2989,11.4739,14.2593,11.5513,13.8080,11.5712,9.7492,9.3628,10.1803,7.1599,9.1083,11.6692
43,-85.3750,10.1250,11.3229,9.2388,14.4898,11.5495,11.5022,13.8109,11.5983,14.3218,12.0084,10.1412,10.0107,10.4697,8.2444,9.5862,11.9660
45,-84.8750,10.1250,13.5073,10.7746,17.3250,14.4707,13.8066,15.9413,12.9678,17.3619,14.6588,13.1832,11.5222,12.1032,11.8985,10.4456,14.3656
46,-84.6250,10.1250,12.8938,10.4973,16.3182,13.8720,12.8234,15.1274,12.2336,16.5421,13.9246,13.1482,11.5450,11.5555,11.0186,9.4461,14.2565
47,-84.3750,10.1250,11.5833,9.6913,14.0215,12.4538,11.4030,13.8331,10.8440,14.9576,12.2327,11.8221,10.9002,10.3353,9.1623,7.9398,12.7676
48,-84.1250,10.1250,10.2194,9.3362,12.3649,11.1466,9.9493,12.2658,9.1433,12.9393,11.2127,10.1612,10.4071,9.1278,8.4075,7.2154,11.6420
49,-83.8750,10.1250,11.3508,9.5700,11.7743,10.5355,9.4970,11.6021,9.5931,12.7463,11.4325,9.3415,10.6667,10.0632,10.2675,8.9007,12.6870
50,-83.6250,10.1250,11.0725,9.0992,10.1754,9.5465,8.2722,10.5513,8.6580,12.3506,9.9017,8.5497,10.3035,9.5412,9.1445,7.7277,11.9132
51,-83.3750,10.1250,9.1661,7.3358,8.5293,7.7412,6.4562,8.5929,7.5046,10.5355,8.6867,6.8688,8.7273,7.9019,8.3437,6.1882,10.3750
54,-85.6250,10.3750,10.3584,8.5026,13.6321,11.1926,10.3924,13.5052,11.1774,12.8392,10.7697,9.5872,9.0261,9.9222,7.2793,8.6344,11.0125
55,-85.3750,10.3750,10.5327,8.8551,13.7056,11.4317,10.5130,13.0638,11.1927,13.1585,11.0920,10.0649,9.4664,10.1304,8.2500,9.0728,11.2786
56,-85.1250,10.3750,10.7262,8.8537,13.6413,11.5813,10.7362,13.1328,11.1743,13.5501,11.2430,10.2662,9.8296,10.4815,9.3277,9.2627,11.4746
57,-84.8750,10.3750,12.1310,9.6849,15.1945,13.4991,12.0085,14.3144,12.0177,15.4971,12.8551,12.4299,10.6848,10.9965,10.2578,8.5436,12.9469
58,-84.6250,10.3750,11.5363,9.3432,14.2813,12.8810,11.4989,14.0841,11.0479,14.6023,12.4565,11.3515,10.2785,10.7276,9.4704,7.8319,12.3546
59,-84.3750,10.3750,9.9843,8.8000,12.6236,11.4226,9.7404,12.8963,9.5203,12.8241,10.9446,10.3646,9.5906,8.6951,7.8986,7.0059,11.3667
60,-84.1250,10.3750,8.3304,7.7992,11.2032,9.1662,7.7953,10.2811,8.3375,12.5538,10.1658,9.4453,9.2914,7.5349,7.0480,6.4896,10.7279
61,-83.8750,10.3750,9.6977,7.6264,10.1449,9.0227,7.6956,10.5457,8.1265,11.1946,9.4965,8.1751,8.9385,8.9373,8.8952,7.8684,11.0015
62,-83.6250,10.3750,8.9711,7.4413,9.0370,8.2407,6.9284,9.0581,7.6710,10.9152,8.4538,7.0739,8.5025,8.0593,7.9579,7.1646,9.8156
65,-85.6250,10.6250,9.4420,7.7275,12.1094,10.2984,9.2055,12.4305,10.1872,12.1409,9.6160,9.0090,8.1512,9.1338,6.9495,7.8153,9.9256
66,-85.3750,10.6250,9.8678,8.1553,12.7144,10.7133,9.7054,12.1572,10.5196,12.9715,10.2275,9.4070,8.7742,9.4592,7.9480,8.4481,10.4333
67,-85.1250,10.6250,9.8692,8.0206,12.6718,10.1613,9.7749,11.6832,10.2671,12.7354,10.1867,9.4079,8.9371,8.6838,8.7022,7.9832,10.4011
68,-84.8750,10.6250,9.3257,7.9708,12.9116,10.6373,9.5655,11.6936,9.5837,12.4471,10.3963,10.0150,8.6052,9.2896,7.4294,7.0246,10.5367
69,-84.6250,10.6250,9.0369,7.3450,11.3738,9.3749,8.5368,10.5085,8.3520,11.5986,9.0644,9.2869,8.1672,7.2973,7.1532,6.2517,10.1262
70,-84.3750,10.6250,8.0359,6.7366,10.0177,7.8967,7.6624,10.3996,7.4813,10.1348,8.0668,8.6246,7.1359,6.6662,6.5870,5.3301,9.7599
71,-84.1250,10.6250,7.6406,5.9601,8.5581,7.6816,5.8413,8.8630,6.4549,9.4665,6.6456,8.3907,7.1702,6.2509,5.9795,5.0526,9.6001
72,-83.8750,10.6250,9.2432,7.2078,9.1594,8.6186,7.2533,10.2682,8.0271,10.9837,9.0402,7.2806,8.7003,8.6457,7.6899,8.1759,10.2830
73,-83.6250,10.6250,9.3361,7.4156,8.2136,8.1937,5.7611,8.9337,7.6725,10.5030,8.4777,7.0853,8.9661,8.1947,7.1921,7.6059,9.6059
