ID,Lon,Lat,gfdl-esm2g,canesm2,cnrm-cm5,csiro-mk3-6-0,inmcm4,miroc5,mpi-esm-lr,mri-cgcm3,ccsm4,noresm1-m,bcc-csm1-1,ipsl-cm5a-lr,ipsl-cm5a-mr,gfdl-cm3,gfdl-esm2m
3,-83.1250,8.3750,5.7074,6.3930,4.9216,5.8083,5.7680,6.0094,5.1118,3.7498,5.5482,5.5993,5.3598,6.4662,7.0196,6.1835,5.5689
5,-83.6250,8.6250,5.6685,6.3701,5.0175,5.7708,5.6314,5.6078,5.4046,4.0554,5.3923,5.8171,5.1625,5.8768,6.5807,5.8325,5.8625
7,-83.1250,8.6250,6.5033,7.0809,5.3359,6.4445,6.5224,6.7206,6.2350,4.3551,6.2561,6.2848,5.9327,7.2479,8.3758,6.8038,6.4089
9,-83.3750,8.8750,6.3971,6.9363,5.2581,6.3493,6.4097,6.0930,6.2521,4.6456,6.0817,6.3787,5.6437,6.8260,7.7741,6.4040,6.1931
10,-83.1250,8.8750,6.6272,7.0851,5.2399,6.3801,6.6509,6.3191,6.2451,4.5175,6.2931,6.4928,5.7847,7.1033,8.2312,6.4656,6.2666
12,-83.6250,9.1250,5.6950,6.5810,5.2149,5.8582,5.9817,5.7720,6.0769,4.6228,6.0545,6.2693,5.5101,6.5739,6.5960,5.6888,6.0012
13,-83.3750,9.1250,5.6871,6.5076,5.1455,5.7886,6.0686,5.7548,5.9832,4.2837,5.9869,5.8863,5.4515,6.5714,6.3475,5.5294,5.8961
14,-83.1250,9.1250,5.7526,6.5205,5.0557,5.8025,6.1067,5.7233,6.0061,4.1828,5.9503,5.7221,5.4622,6.7408,6.4638,5.5849,5.9590
16,-84.1250,9.3750,6.1145,6.8548,5.4690,6.3422,6.3627,6.4490,6.6350,5.7673,6.4721,6.4793,5.9607,7.5556,7.6015,6.2772,6.7384
17,-83.8750,9.3750,6.6451,7.5371,6.2154,6.6349,6.8783,6.8690,7.0195,5.4610,7.0639,7.1269,6.1826,7.8818,7.5829,6.4416,7.1300
18,-83.6250,9.3750,6.6762,7.5104,6.2574,6.6537,6.9808,6.8444,7.0587,5.2881,6.9858,7.1172,6.1622,7.7409,7.8836,6.3211,7.1682
19,-83.3750,9.3750,5.8187,6.6478,5.7060,5.9272,6.1002,6.0824,6.2283,4.5071,6.2922,5.9918,5.5097,6.8079,6.5869,5.6406,6.2020
20,-83.1250,9.3750,5.5892,6.3482,5.4696,5.6425,5.9633,5.8585,5.9743,4.1796,6.0552,5.6622,5.2686,6.6207,6.9292,5.3568,5.9688
21,-85.1250,9.6250,5.8750,6.4599,5.0228,5.9429,5.5645,5.6786,5.7753,4.2767,6.1606,6.3336,5.5092,7.2476,7.1463,6.4493,6.5104
23,-84.6250,9.6250,5.9731,6.6504,5.5021,6.0334,5.9756,5.6275,6.1351,5.1947,6.4109,6.3686,5.7432,7.3849,7.0716,6.2783,6.5255
24,-84.3750,9.6250,5.6421,6.2293,4.9808,5.7264,5.6625,5.6904,5.7531,5.0978,6.0171,5.7371,5.2216,6.4699,6.6737,5.6164,6.2003
25,-84.1250,9.6250,6.4821,7.1292,5.9692,6.5757,6.5815,6.6568,6.9236,5.9969,6.7776,6.5227,6.1414,7.7004,7.7240,6.3769,7.1430
26,-83.8750,9.6250,8.2607,8.9962,7.6983,7.9617,8.3081,8.4226,8.5679,6.4551,8.5593,8.5042,7.3010,9.5972,10.1982,8.0053,8.7958
27,-83.6250,9.6250,8.6301,9.0660,8.0153,8.1429,8.6579,8.7228,9.1220,6.7528,8.6076,8.8912,7.3106,9.9812,10.3042,8.2722,9.0493
28,-83.3750,9.6250,6.5660,7.3504,6.6413,6.7212,6.9908,7.0959,7.1980,5.5804,7.0244,7.4254,5.9070,8.1898,8.1676,6.5632,7.3493
29,-83.1250,9.6250,6.0821,6.3978,6.0703,6.0607,6.9612,6.9999,7.1160,4.8582,6.4114,6.6840,5.1926,7.5585,7.4869,5.9083,6.7705
31,-85.3750,9.8750,5.6542,6.1143,5.1192,5.3654,5.3200,4.9557,5.4228,3.8909,5.7396,5.9074,5.2770,6.7795,5.9879,6.2132,6.0664
32,-85.1250,9.8750,6.2172,6.6792,5.2488,5.9868,5.9277,5.4953,6.1118,4.5088,6.4105,6.4056,5.7588,7.4569,7.1645,6.3880,6.7098
34,-84.6250,9.8750,7.0964,7.7359,6.2674,6.8044,7.2047,6.7719,6.9108,5.9723,7.3935,7.4017,6.7608,8.4057,8.2780,7.4085,7.8408
35,-84.3750,9.8750,6.5861,7.3591,6.1305,6.5685,6.9006,6.8038,6.7600,6.2012,7.0241,6.9228,6.3909,8.1783,7.8854,6.8043,7.2420
36,-84.1250,9.8750,7.5130,8.2198,7.3645,7.4453,7.8130,8.0010,7.9947,7.2097,7.9706,7.7668,7.0877,9.2867,9.2519,7.4745,8.5413
37,-83.8750,9.8750,9.3097,9.8079,8.7905,8.8022,9.3768,9.3027,9.9530,7.6352,9.2588,9.7473,8.4557,11.2340,11.4390,9.6725,10.2434
38,-83.6250,9.8750,10.1130,9.7866,9.8893,8.9242,9.9534,10.1493,10.4730,8.1909,9.8587,10.1001,8.3690,11.7566,12.1079,9.9137,10.5358
39,-83.3750,9.8750,9.0695,8.2419,8.2147,7.7546,8.6846,9.0360,9.2769,6.5619,8.0310,9.2055,6.7437,9.7264,10.0109,7.9211,8.6200
40,-83.1250,9.8750,8.2104,7.4032,7.7025,6.9396,7.9577,8.3381,8.3381,6.2152,7.6036,8.4866,6.4332,9.1327,9.0517,7.1244,7.4577
42,-85.6250,10.1250,4.3139,4.8393,3.2400,3.8455,4.0881,3.4803,4.0263,2.9347,4.5879,4.1928,4.2078,4.8066,3.5478,4.5105,4.5850
43,-85.3750,10.1250,4.3887,4.9300,3.4964,3.9834,4.2273,3.8018,4.2275,2.9476,4.6178,4.3173,4.1192,4.9442,4.0397,4.4857,4.6796
45,-84.8750,10.1250,6.7201,7.3737,5.5752,6.0236,6.5273,6.1968,6.6397,5.0515,7.3330,6.8063,6.5249,7.6835,7.2248,6.9291,7.2133
46,-84.6250,10.1250,8.0393,8.3979,6.4752,7.1459,7.8751,7.4852,7.7008,5.9300,8.3888,7.8768,7.4425,9.1531,9.0949,8.6916,8.3293
47,-84.3750,10.1250,8.7782,8.8210,7.3716,7.9529,8.4580,8.1235,8.2538,6.4582,9.0364,8.9520,7.8295,10.1273,10.8202,10.0054,9.4381
48,-84.1250,10.1250,10.1125,9.3039,9.0102,9.4883,9.6420,9.5277,9.9750,8.7179,9.7092,10.8398,8.6928,11.5537,11.9940,11.0846,10.7356
49,-83.8750,10.1250,10.2718,9.9297,9.8996,10.6809,10.6853,10.4387,10.6694,9.9546,9.9861,11.3962,9.3292,12.1640,11.8916,10.4061,10.2957
50,-83.6250,10.1250,9.8713,10.0124,10.3429,10.8487,10.9582,10.5146,10.9534,9.8265,10.6687,11.2804,9.2131,11.7006,12.2687,10.5288,10.2326
