ID,Lon,Lat,gfdl-esm2g,canesm2,cnrm-cm5,csiro-mk3-6-0,inmcm4,miroc5,mpi-esm-lr,mri-cgcm3,ccsm4,noresm1-m,bcc-csm1-1,ipsl-cm5a-lr,ipsl-cm5a-mr,gfdl-cm3,gfdl-esm2m
3,-83.1250,8.3750,16.2371,15.4383,18.6415,17.9291,18.2087,17.5513,17.0910,18.0926,19.3792,16.7750,16.6711,17.5661,15.1356,15.2330,18.0959
5,-83.6250,8.6250,15.7355,15.0930,18.3168,17.3353,17.9671,17.2621,16.7731,17.3528,19.2910,16.5916,16.1459,17.0039,14.2972,14.7264,17.9313
7,-83.1250,8.6250,17.7852,17.1233,21.0698,19.4439,19.3062,19.7856,18.6630,19.8362,21.0637,18.5580,18.3827,19.4109,17.4195,16.9113,20.3089
9,-83.3750,8.8750,17.4553,16.9660,21.1257,18.8084,18.6482,19.7473,18.3696,19.4091,20.7241,18.2281,17.9986,18.4284,17.0816,16.6914,20.3672
10,-83.1250,8.8750,18.6280,18.4063,23.0125,20.0588,19.5545,21.4575,19.6066,20.7193,21.9366,19.3220,19.4195,19.8333,19.1214,18.0203,21.7578
12,-83.6250,9.1250,15.8358,15.2906,18.8617,16.9779,16.6951,17.9695,17.0838,17.3515,18.5045,16.3942,15.7634,16.0510,14.3743,14.7051,18.7529
13,-83.3750,9.1250,17.4869,17.7374,21.8081,18.7460,18.0439,20.3434,19.2386,19.5350,20.4798,18.0024,17.9261,17.9779,16.5201,16.5786,20.7331
14,-83.1250,9.1250,18.7653,19.5066,23.9115,19.9690,19.0326,22.2119,20.6326,20.8995,21.7370,19.1824,19.4529,19.5357,18.5461,17.8740,22.1859
16,-84.1250,9.3750,15.9228,14.3958,17.7157,16.6862,16.5021,16.8883,17.3630,16.8927,17.0055,15.5471,14.6014,15.6005,14.5650,14.1484,18.4460
17,-83.8750,9.3750,16.5969,15.6852,18.9058,17.8286,17.1983,18.1777,17.5881,18.0110,18.8677,17.4774,16.2743,16.6735,15.1241,15.1472,19.6988
18,-83.6250,9.3750,17.1477,16.7132,19.9887,18.4199,17.6748,19.1498,18.3314,19.0656,19.6983,18.0902,17.1772,17.3317,16.0173,15.7716,20.3644
