ID,Lon,Lat,ann_avg
3,-83.1250,8.3750,7.5284
5,-83.6250,8.6250,7.2413
7,-83.1250,8.6250,8.4786
9,-83.3750,8.8750,8.3174
10,-83.1250,8.8750,8.8677
12,-83.6250,9.1250,7.4621
13,-83.3750,9.1250,8.2581
14,-83.1250,9.1250,8.7476
16,-84.1250,9.3750,6.7529
17,-83.8750,9.3750,7.9980
18,-83.6250,9.3750,8.3850
19,-83.3750,9.3750,8.3842
20,-83.1250,9.3750,8.4237
21,-85.1250,9.6250,5.6737
23,-84.6250,9.6250,6.0126
24,-84.3750,9.6250,5.8996
25,-84.1250,9.6250,7.0947
26,-83.8750,9.6250,9.8926
27,-83.6250,9.6250,10.3377
28,-83.3750,9.6250,8.8873
29,-83.1250,9.6250,8.0673
31,-85.3750,9.8750,5.4089
32,-85.1250,9.8750,5.9917
34,-84.6250,9.8750,6.8463
35,-84.3750,9.8750,6.7909
36,-84.1250,9.8750,8.0964
37,-83.8750,9.8750,11.0013
38,-83.6250,9.8750,11.3630
39,-83.3750,9.8750,9.5704
40,-83.1250,9.8750,8.4150
42,-85.6250,10.1250,4.7722
43,-85.3750,10.1250,5.0365
45,-84.8750,10.1250,7.4532
46,-84.6250,10.1250,8.3400
47,-84.3750,10.1250,8.8444
48,-84.1250,10.1250,9.7654
49,-83.8750,10.1250,11.1257
50,-83.6250,10.1250,11.2536
51,-83.3750,10.1250,10.2452
54,-85.6250,10.3750,4.6723
55,-85.3750,10.3750,4.9655
56,-85.1250,10.3750,5.8871
57,-84.8750,10.3750,7.6668
58,-84.6250,10.3750,8.7505
59,-84.3750,10.3750,9.4243
60,-84.1250,10.3750,10.3421
61,-83.8750,10.3750,11.4821
62,-83.6250,10.3750,11.5524
65,-85.6250,10.6250,4.7241
66,-85.3750,10.6250,5.4062
67,-85.1250,10.6250,6.3688
68,-84.8750,10.6250,7.7737
69,-84.6250,10.6250,8.5324
70,-84.3750,10.6250,8.8806
71,-84.1250,10.6250,10.0481
72,-83.8750,10.6250,11.9895
73,-83.6250,10.6250,12.2152
76,-85.6250,10.8750,4.7784
77,-85.3750,10.8750,5.5496
78,-85.1250,10.8750,6.4354
79,-84.8750,10.8750,7.5511
80,-84.6250,10.8750,8.3466
81,-84.3750,10.8750,9.0051
82,-84.1250,10.8750,10.0960
83,-83.8750,10.8750,11.5529
84,-83.6250,10.8750,11.7210
86,-85.6250,11.1250,4.9092
87,-85.3750,11.1250,5.4451
88,-85.1250,11.1250,6.1015
89,-84.8750,11.1250,6.8580
90,-84.6250,11.1250,8.0030
91,-84.3750,11.1250,9.5540
95,-85.8750,11.3750,4.4880
96,-85.6250,11.3750,4.7827
97,-85.3750,11.3750,5.1293
98,-85.1250,11.3750,5.8142
99,-84.8750,11.3750,6.8231
100,-84.6250,11.3750,8.1790
105,-86.1250,11.6250,4.1383
106,-85.8750,11.6250,4.3159
107,-85.6250,11.6250,4.5438
108,-85.3750,11.6250,4.7427
109,-85.1250,11.6250,5.6889
110,-84.8750,11.6250,7.3806
111,-84.6250,11.6250,8.7827
117,-86.3750,11.8750,3.7688
118,-86.1250,11.8750,3.9824
119,-85.8750,11.8750,4.1805
120,-85.6250,11.8750,4.4539
121,-85.3750,11.8750,4.7369
122,-85.1250,11.8750,5.7348
123,-84.8750,11.8750,7.4596
130,-86.6250,12.1250,3.5810
131,-86.3750,12.1250,3.6537
132,-86.1250,12.1250,3.8268
133,-85.8750,12.1250,4.1632
134,-85.6250,12.1250,4.6178
135,-85.3750,12.1250,5.2403
136,-85.1250,12.1250,6.1216
137,-84.8750,12.1250,7.1916
145,-86.8750,12.3750,3.7077
