ID,Lon,Lat,onset_dy,end_dy,duration,intensity,min
3,-83.1250,8.3750,157.9111,249.9467,92.0356,11.7636,5.6810
5,-83.6250,8.6250,157.9555,251.4378,93.4822,12.0857,5.6034
7,-83.1250,8.6250,157.4378,250.3644,92.9267,12.8314,6.4338
9,-83.3750,8.8750,157.4556,252.5333,95.0778,13.2503,6.2428
10,-83.1250,8.8750,156.0733,252.7933,96.7200,13.8789,6.3801
12,-83.6250,9.1250,158.2444,254.4600,96.2156,12.7605,5.8998
13,-83.3750,9.1250,154.5422,255.9178,101.3756,14.2268,5.7925
14,-83.1250,9.1250,152.6755,255.8956,103.2200,14.7795,5.8022
16,-84.1250,9.3750,162.6244,241.3444,78.7200,10.8847,6.4720
17,-83.8750,9.3750,161.8222,253.0222,91.2000,12.6820,6.8447
18,-83.6250,9.3750,160.3867,253.3911,93.0045,12.8215,6.8432
19,-83.3750,9.3750,155.0733,255.9511,100.8778,13.3425,6.0033
20,-83.1250,9.3750,153.1867,254.8711,101.6845,13.0812,5.7924
21,-85.1250,9.6250,167.5267,241.0555,73.5289,10.4706,5.9968
23,-84.6250,9.6250,164.4355,242.0378,77.6022,10.4838,6.1917
24,-84.3750,9.6250,160.5845,242.4422,81.8578,10.4992,5.7812
25,-84.1250,9.6250,160.9400,241.5800,80.6400,11.3737,6.7134
26,-83.8750,9.6250,162.1822,251.6044,89.4222,13.9810,8.3754
27,-83.6250,9.6250,161.9911,250.2622,88.2711,13.3703,8.6351
28,-83.3750,9.6250,159.2845,250.2356,90.9511,11.3933,6.9847
29,-83.1250,9.6250,157.9311,245.9578,88.0267,9.6000,6.4372
31,-85.3750,9.8750,166.5933,241.6800,75.0867,11.0772,5.5876
32,-85.1250,9.8750,166.6444,241.9756,75.3311,11.5511,6.1646
34,-84.6250,9.8750,167.0911,241.1355,74.0444,11.2573,7.2169
35,-84.3750,9.8750,164.3022,241.0689,76.7667,10.6948,6.9172
36,-84.1250,9.8750,164.3756,239.2778,74.9022,11.1352,7.9294
37,-83.8750,9.8750,164.1200,247.2600,83.1400,13.2491,9.5352
38,-83.6250,9.8750,164.5933,242.8200,78.2267,12.0514,10.0081
39,-83.3750,9.8750,163.7511,238.9178,75.1667,9.2571,8.4732
40,-83.1250,9.8750,163.5489,232.0956,68.5467,7.4409,7.7596
42,-85.6250,10.1250,165.2933,248.4467,83.1534,11.0425,4.0804
43,-85.3750,10.1250,163.6956,249.1133,85.4178,11.3507,4.2137
45,-84.8750,10.1250,167.2533,251.0844,83.8311,13.6222,6.6549
46,-84.6250,10.1250,169.5511,248.5467,78.9956,13.0135,7.8684
47,-84.3750,10.1250,170.8489,244.6933,73.8444,11.5965,8.6951
48,-84.1250,10.1250,171.8178,238.1933,66.3755,10.3692,10.0258
49,-83.8750,10.1250,167.0822,226.7733,59.6911,10.6685,10.5333
50,-83.6250,10.1250,166.3600,222.1133,55.7533,9.7872,10.6147
51,-83.3750,10.1250,165.5178,218.1311,52.6133,8.1969,9.7802
54,-85.6250,10.3750,164.7045,249.2511,84.5467,10.5221,3.8356
55,-85.3750,10.3750,164.2311,249.2044,84.9733,10.7872,4.0804
56,-85.1250,10.3750,166.6911,247.2845,80.5933,11.0188,5.3079
57,-84.8750,10.3750,170.2089,248.4400,78.2311,12.2041,7.4377
58,-84.6250,10.3750,173.1222,243.4000,70.2778,11.5831,9.1756
59,-84.3750,10.3750,175.4733,237.6578,62.1845,10.2452,10.5338
60,-84.1250,10.3750,176.8844,230.6578,53.7733,9.0780,11.9801
61,-83.8750,10.3750,171.1511,220.7000,49.5489,9.1578,12.2258
62,-83.6250,10.3750,170.4644,216.7667,46.3022,8.3527,12.2057
65,-85.6250,10.6250,166.2600,248.1378,81.8778,9.6095,4.1619
66,-85.3750,10.6250,167.7978,246.6778,78.8800,10.1001,5.0904
67,-85.1250,10.6250,170.6755,242.3933,71.7178,9.9657,6.8038
68,-84.8750,10.6250,175.5355,238.7222,63.1867,9.8288,9.2370
69,-84.6250,10.6250,178.6400,232.5200,53.8800,8.8982,11.1171
70,-84.3750,10.6250,179.2689,228.5289,49.2600,8.0357,11.8775
71,-84.1250,10.6250,180.4489,222.7244,42.2756,7.3037,13.6988
72,-83.8750,10.6250,173.7244,217.5111,43.7867,8.7051,14.1074
73,-83.6250,10.6250,173.2889,215.2578,41.9689,8.2105,14.0540
76,-85.6250,10.8750,168.0800,246.1845,78.1045,8.9327,4.5765
77,-85.3750,10.8750,169.0178,243.3422,74.3244,9.2936,5.7274
78,-85.1250,10.8750,173.1378,238.8000,65.6622,8.9318,7.5928
79,-84.8750,10.8750,177.9778,233.6844,55.7067,8.3266,10.0637
80,-84.6250,10.8750,180.6667,226.2467,45.5800,7.4954,12.2058
81,-84.3750,10.8750,181.3800,223.1356,41.7556,6.9971,13.3357
82,-84.1250,10.8750,181.0778,219.8644,38.7867,6.6746,14.6538
83,-83.8750,10.8750,174.8556,217.9178,43.0622,8.3620,13.7676
84,-83.6250,10.8750,173.6734,217.0533,43.3800,8.2127,13.3263
86,-85.6250,11.1250,167.6444,249.3022,81.6578,9.0340,4.6415
87,-85.3750,11.1250,169.0089,246.2111,77.2022,8.6702,5.6216
88,-85.1250,11.1250,172.7378,239.1022,66.3644,8.1200,7.2744
89,-84.8750,11.1250,178.3511,231.2067,52.8555,7.7330,9.5862
90,-84.6250,11.1250,180.8378,225.6222,44.7844,7.3735,12.1191
91,-84.3750,11.1250,181.5756,222.0067,40.4311,7.3854,14.4868
95,-85.8750,11.3750,166.4844,249.7689,83.2844,8.6567,4.2949
96,-85.6250,11.3750,168.3889,248.1622,79.7733,8.3714,4.7900
97,-85.3750,11.3750,170.1245,244.6578,74.5333,7.7857,5.6188
98,-85.1250,11.3750,174.1489,238.3978,64.2489,7.3849,7.2455
99,-84.8750,11.3750,178.0889,230.1467,52.0578,7.4201,9.6376
100,-84.6250,11.3750,180.1733,225.5756,45.4022,7.3861,12.3245
105,-86.1250,11.6250,165.3133,257.3978,92.0844,8.3534,3.7741
106,-85.8750,11.6250,165.5578,249.8422,84.2844,8.0234,4.1431
107,-85.6250,11.6250,168.8556,246.2578,77.4022,7.4964,4.8721
108,-85.3750,11.6250,171.7067,244.6267,72.9200,7.1715,5.5040
109,-85.1250,11.6250,175.8244,237.9555,62.1311,7.1078,7.3348
110,-84.8750,11.6250,178.6444,230.2778,51.6333,7.5732,10.2814
111,-84.6250,11.6250,180.5267,225.6489,45.1222,7.6335,13.0157
117,-86.3750,11.8750,165.1689,258.5800,93.4111,8.1262,3.2646
118,-86.1250,11.8750,165.9755,257.6000,91.6245,7.9801,3.5978
119,-85.8750,11.8750,165.8867,249.9422,84.0556,7.5832,4.0585
120,-85.6250,11.8750,169.4667,246.2044,76.7378,7.1376,4.8577
121,-85.3750,11.8750,172.9111,243.4400,70.5289,6.9364,5.6491
122,-85.1250,11.8750,176.6422,237.3845,60.7422,6.9760,7.5296
123,-84.8750,11.8750,178.9445,230.9667,52.0222,7.5275,10.3668
130,-86.6250,12.1250,164.9267,257.9022,92.9756,7.8584,3.0788
131,-86.3750,12.1250,164.7289,258.9178,94.1889,7.7555,3.2238
132,-86.1250,12.1250,165.5956,257.5911,91.9955,7.4949,3.6104
133,-85.8750,12.1250,168.8200,256.0778,87.2578,7.2828,4.1963
134,-85.6250,12.1250,171.4067,251.7133,80.3067,7.0632,5.0253
135,-85.3750,12.1250,173.7200,246.8244,73.1045,6.9108,6.2078
136,-85.1250,12.1250,176.2667,241.7533,65.4867,6.9684,7.7787
137,-84.8750,12.1250,178.7800,231.6200,52.8400,6.9047,10.0775
145,-86.8750,12.3750,164.5356,257.6778,93.1422,8.3894,3.0359
146,-86.6250,12.3750,164.4378,259.1800,94.7422,8.1327,3.0106
147,-86.3750,12.3750,165.1333,259.0000,93.8667,7.5636,3.1801
148,-86.1250,12.3750,166.4822,256.9200,90.4378,7.0864,3.5541
149,-85.8750,12.3750,169.1289,256.1578,87.0289,6.9790,3.9908
150,-85.6250,12.3750,171.7489,251.0689,79.3200,6.6927,4.8997
151,-85.3750,12.3750,173.0489,246.0422,72.9933,6.6611,6.0494
152,-85.1250,12.3750,175.2733,239.4156,64.1422,6.4966,7.6526
153,-84.8750,12.3750,177.4067,231.4178,54.0111,6.4732,9.4780
161,-87.1250,12.6250,162.8956,258.5222,95.6267,10.0220,3.4992
162,-86.8750,12.6250,162.2667,258.0600,95.7933,9.3644,3.2981
163,-86.6250,12.6250,162.4933,258.9289,96.4356,8.5551,3.1512
164,-86.3750,12.6250,164.1267,258.3089,94.1822,7.5247,3.0914
165,-86.1250,12.6250,166.2600,255.9933,89.7333,6.7208,3.3365
166,-85.8750,12.6250,168.9089,254.8133,85.9044,6.4319,3.6928
167,-85.6250,12.6250,171.2000,250.8556,79.6556,6.1156,4.4314
168,-85.3750,12.6250,172.3733,245.0822,72.7089,6.0264,5.4538
169,-85.1250,12.6250,174.3400,238.9845,64.6445,5.9959,6.8518
176,-87.6250,12.8750,166.1178,253.2089,87.0911,8.7999,3.7186
177,-87.3750,12.8750,162.3556,256.4067,94.0511,10.3105,3.6707
178,-87.1250,12.8750,161.5200,258.3822,96.8622,10.5507,3.6262
179,-86.8750,12.8750,161.8067,257.2089,95.4022,9.4560,3.4840
180,-86.6250,12.8750,162.4311,257.1489,94.7178,8.4055,3.3591
181,-86.3750,12.8750,164.9022,256.0511,91.1489,7.2764,3.3597
182,-86.1250,12.8750,166.6311,253.8111,87.1800,6.4814,3.6149
183,-85.8750,12.8750,169.8800,251.5422,81.6622,6.1284,4.0813
184,-85.6250,12.8750,171.6200,246.5489,74.9289,5.8309,4.7669
185,-85.3750,12.8750,172.1178,242.7867,70.6689,5.7880,5.5616
186,-85.1250,12.8750,173.2889,238.1222,64.8333,5.7989,6.7188
199,-87.3750,13.1250,160.3400,255.2867,94.9467,10.1460,3.7005
200,-87.1250,13.1250,160.5622,256.8711,96.3089,9.8818,3.6116
201,-86.8750,13.1250,161.5222,256.6733,95.1511,8.5773,3.5326
202,-86.6250,13.1250,163.3556,255.4000,92.0444,7.5596,3.6348
203,-86.3750,13.1250,165.8244,252.7289,86.9045,6.7463,3.9626
204,-86.1250,13.1250,169.1222,248.5289,79.4067,6.0904,4.5998
205,-85.8750,13.1250,171.8933,247.7689,75.8756,6.0271,5.3457
206,-85.6250,13.1250,172.7000,242.8533,70.1533,5.6971,6.1571
207,-85.3750,13.1250,172.8889,239.7133,66.8244,5.6155,6.7741
208,-85.1250,13.1250,173.6222,235.9489,62.3267,5.5746,7.6499
209,-84.8750,13.1250,175.9467,231.4155,55.4689,5.5238,8.7787
218,-88.8750,13.3750,172.3489,242.9533,70.6044,8.5969,6.2193
219,-88.6250,13.3750,171.8956,244.5600,72.6644,8.5096,5.8221
220,-88.3750,13.3750,170.3800,247.0756,76.6956,8.4075,5.1972
221,-88.1250,13.3750,167.9556,249.0422,81.0867,8.4304,4.7670
222,-87.8750,13.3750,165.6444,250.7044,85.0600,8.8029,4.3420
224,-87.3750,13.3750,160.1356,254.8511,94.7156,9.2019,3.5885
225,-87.1250,13.3750,160.3889,255.3289,94.9400,8.7609,3.4537
226,-86.8750,13.3750,162.1644,254.2489,92.0844,7.6394,3.5315
227,-86.6250,13.3750,164.1467,252.7044,88.5578,6.8485,3.8127
228,-86.3750,13.3750,167.0711,249.1422,82.0711,6.2867,4.3798
229,-86.1250,13.3750,169.4978,244.1044,74.6067,5.8051,5.1847
230,-85.8750,13.3750,172.7667,242.4200,69.6533,5.6974,6.1326
231,-85.6250,13.3750,173.4733,238.8889,65.4156,5.5527,6.8465
241,-89.8750,13.6250,166.6311,242.2378,75.6067,8.8981,6.6460
242,-89.6250,13.6250,170.3956,239.6689,69.2733,8.0888,6.9113
243,-89.3750,13.6250,173.3444,237.8222,64.4778,7.5725,7.3242
244,-89.1250,13.6250,174.6378,238.0244,63.3867,7.4195,7.2869
245,-88.8750,13.6250,174.0133,241.4089,67.3955,7.6844,6.7037
246,-88.6250,13.6250,173.3933,243.0778,69.6844,7.7358,6.1966
247,-88.3750,13.6250,171.9800,245.0178,73.0378,7.6022,5.6867
248,-88.1250,13.6250,169.2000,246.5644,77.3644,7.6298,5.1353
249,-87.8750,13.6250,167.4822,249.2600,81.7778,7.9293,4.4830
250,-87.6250,13.6250,164.5289,250.7822,86.2533,7.7722,3.9481
251,-87.3750,13.6250,162.1044,252.9378,90.8333,7.4013,3.3974
252,-87.1250,13.6250,161.9289,253.6467,91.7178,7.0644,3.2013
253,-86.8750,13.6250,162.7422,252.3667,89.6244,6.6015,3.4264
254,-86.6250,13.6250,165.0644,250.0800,85.0156,6.1848,3.8990
255,-86.3750,13.6250,167.5556,245.7267,78.1711,5.8301,4.6035
256,-86.1250,13.6250,169.9533,242.0978,72.1444,5.5684,5.3598
257,-85.8750,13.6250,172.3267,241.0067,68.6800,5.5658,6.1455
258,-85.6250,13.6250,172.9178,237.4644,64.5467,5.4600,6.9136
271,-90.3750,13.8750,164.3267,250.8911,86.5644,12.9820,7.5546
272,-90.1250,13.8750,166.1600,248.8089,82.6489,11.3910,7.4121
273,-89.8750,13.8750,166.4111,243.7511,77.3400,9.7633,7.4007
274,-89.6250,13.8750,169.5933,238.7822,69.1889,8.3502,7.6814
275,-89.3750,13.8750,173.4400,235.9756,62.5355,7.3316,7.8652
276,-89.1250,13.8750,175.1222,236.6844,61.5622,6.9516,7.6548
277,-88.8750,13.8750,174.4956,239.4178,64.9222,7.1703,7.0370
278,-88.6250,13.8750,173.9422,241.0489,67.1067,7.2501,6.5600
279,-88.3750,13.8750,173.1467,243.2400,70.0933,7.1830,6.1875
280,-88.1250,13.8750,170.7355,245.0667,74.3311,7.2283,5.6143
281,-87.8750,13.8750,169.4622,246.9267,77.4644,7.3113,4.9710
282,-87.6250,13.8750,166.8222,248.9933,82.1711,7.0541,4.2737
283,-87.3750,13.8750,164.0378,250.5667,86.5289,6.5577,3.5359
284,-87.1250,13.8750,163.3578,251.1111,87.7533,6.2354,3.3009
285,-86.8750,13.8750,163.9222,249.9133,85.9911,5.9881,3.5543
286,-86.6250,13.8750,165.4289,246.5733,81.1445,5.7332,4.0532
287,-86.3750,13.8750,167.7045,243.0156,75.3111,5.5297,4.7186
288,-86.1250,13.8750,169.7622,239.7733,70.0111,5.3481,5.4303
289,-85.8750,13.8750,171.0778,239.7067,68.6289,5.4466,6.0520
290,-85.6250,13.8750,171.7089,236.6244,64.9155,5.3979,6.8144
291,-85.3750,13.8750,172.1267,233.3911,61.2644,5.4152,7.6779
292,-85.1250,13.8750,171.9756,231.3867,59.4111,5.6308,8.5432
301,-91.6250,14.1250,166.3533,251.3556,85.0022,13.4003,6.7556
302,-91.3750,14.1250,165.9333,252.0689,86.1356,14.4130,7.5820
303,-91.1250,14.1250,164.2489,252.6667,88.4178,15.6312,8.1604
304,-90.8750,14.1250,161.7022,252.9689,91.2667,17.6392,8.5893
305,-90.6250,14.1250,161.2489,252.7667,91.5178,16.9560,8.5240
306,-90.3750,14.1250,163.2333,251.0067,87.7733,14.2058,8.0758
307,-90.1250,14.1250,164.3956,248.1978,83.8022,12.0407,7.7732
308,-89.8750,14.1250,167.3978,243.3400,75.9422,10.0825,7.9606
309,-89.6250,14.1250,169.5044,239.1045,69.6000,8.7124,7.9969
310,-89.3750,14.1250,172.9267,237.0956,64.1689,7.6295,8.0187
311,-89.1250,14.1250,174.3689,236.6889,62.3200,7.1418,7.7421
312,-88.8750,14.1250,174.8445,238.4511,63.6066,7.1400,7.2064
313,-88.6250,14.1250,174.4844,239.6378,65.1533,7.1586,6.8776
314,-88.3750,14.1250,174.4689,240.3222,65.8533,7.1233,6.7874
315,-88.1250,14.1250,174.1733,241.7422,67.5689,7.1200,6.3484
316,-87.8750,14.1250,170.6533,243.9889,73.3356,6.8026,5.7183
318,-87.3750,14.1250,164.8733,247.3444,82.4711,6.2864,4.2175
319,-87.1250,14.1250,163.5600,247.8067,84.2467,6.0355,3.8591
320,-86.8750,14.1250,165.2267,246.9222,81.6956,5.7627,3.9119
321,-86.6250,14.1250,166.4333,245.1333,78.7000,5.5803,4.1723
322,-86.3750,14.1250,167.9422,242.1000,74.1578,5.4420,4.6572
323,-86.1250,14.1250,169.5156,239.9133,70.3978,5.3445,5.1985
324,-85.8750,14.1250,169.8267,235.8733,66.0467,5.1701,5.9351
325,-85.6250,14.1250,170.9089,234.3044,63.3955,5.2065,6.6418
326,-85.3750,14.1250,171.5622,231.0511,59.4889,5.2964,7.5350
327,-85.1250,14.1250,171.8711,228.4067,56.5356,5.5488,8.5081
328,-84.8750,14.1250,171.4645,224.5689,53.1044,5.6963,9.8977
337,-91.8750,14.3750,166.2289,251.1911,84.9622,14.8065,7.2482
338,-91.6250,14.3750,166.5311,250.8778,84.3467,14.6887,7.6925
339,-91.3750,14.3750,167.0044,251.1689,84.1644,14.2393,7.9592
340,-91.1250,14.3750,165.8822,251.5711,85.6889,14.5932,8.1546
341,-90.8750,14.3750,162.6844,252.8444,90.1600,16.3712,8.3100
342,-90.6250,14.3750,161.6867,252.9556,91.2689,15.8833,8.1627
343,-90.3750,14.3750,162.7178,251.1533,88.4355,13.6132,7.9068
344,-90.1250,14.3750,164.3600,248.4533,84.0933,11.8546,7.8724
345,-89.8750,14.3750,166.7756,242.7467,75.9711,10.2853,8.3461
346,-89.6250,14.3750,169.0133,239.7600,70.7467,9.1675,8.3607
347,-89.3750,14.3750,171.5578,236.8822,65.3244,7.9864,8.2617
