ID,Lon,Lat,onset_dy,p-onset_dy,end_dy,p-end_dy,duration,p-duration,intensity,p-intensity,min,p-min
3,-83.1250,8.3750,2.5444,0.1556,0.1489,0.5321,-2.3955,0.2805,0.6150,0.2560,-0.2695,0.8203
5,-83.6250,8.6250,2.0178,0.1728,0.6000,0.8647,-1.4178,0.4955,0.5599,0.2330,-0.3921,0.4265
7,-83.1250,8.6250,2.8733,0.1728,0.3667,0.3942,-2.5066,0.2330,0.6509,0.2560,-0.4713,0.5321
9,-83.3750,8.8750,1.5889,0.4776,0.4289,1.0000,-1.1600,0.5701,0.5094,0.3635,-0.5521,0.3343
10,-83.1250,8.8750,1.6778,0.4265,-0.2489,0.3343,-1.9267,0.3942,0.4713,0.3635,-0.5115,0.4265
12,-83.6250,9.1250,1.0044,0.6496,-0.0822,0.8647,-1.0867,0.4603,0.6184,0.1556,-0.5564,0.0995
13,-83.3750,9.1250,0.2289,0.8203,0.0533,1.0000,-0.1756,0.7764,0.6294,0.1914,-0.5495,0.1252
14,-83.1250,9.1250,0.1378,0.7764,-0.5000,0.7333,-0.6378,0.5321,0.6803,0.2805,-0.5916,0.1252
16,-84.1250,9.3750,0.6356,0.9096,0.9133,0.9547,0.2778,1.0000,0.3997,0.2115,-0.6237,0.0468
17,-83.8750,9.3750,0.7689,0.6496,-0.0578,0.7764,-0.8267,0.7333,0.5081,0.1914,-0.5477,0.1252
18,-83.6250,9.3750,0.3400,0.6909,0.0533,0.7764,-0.2867,0.9096,0.5708,0.1556,-0.6234,0.1118
19,-83.3750,9.3750,0.2844,0.8202,-0.6956,0.7333,-0.9800,0.5321,0.5240,0.3066,-0.5222,0.1252
20,-83.1250,9.3750,0.2422,0.7333,0.2978,0.9096,0.0555,0.7333,0.5613,0.2330,-0.5272,0.1252
21,-85.1250,9.6250,-0.7800,0.7333,0.7422,0.9547,1.5222,0.4703,0.4363,0.2115,-0.6660,0.1252
23,-84.6250,9.6250,0.6067,0.9096,0.7733,0.6496,0.1667,0.8203,0.3779,0.2805,-0.6083,0.0783
24,-84.3750,9.6250,1.0955,0.6496,1.0711,0.5701,-0.0244,0.9096,0.3097,0.3942,-0.5642,0.0609
25,-84.1250,9.6250,1.2978,0.4955,0.7422,0.7764,-0.5556,0.7333,0.3447,0.4955,-0.6450,0.0535
26,-83.8750,9.6250,0.7689,0.6701,0.4245,0.9096,-0.3444,0.8424,0.4376,0.2330,-0.6154,0.1728
27,-83.6250,9.6250,1.0067,0.5321,0.6022,0.9096,-0.4044,0.7764,0.4735,0.2805,-0.6424,0.1556
28,-83.3750,9.6250,-0.0756,0.9547,0.7067,0.9547,0.7822,0.8647,0.5033,0.2115,-0.5611,0.1728
29,-83.1250,9.6250,-0.5378,0.7333,1.3689,0.9096,1.9067,0.8647,0.5057,0.1556,-0.5127,0.1914
31,-85.3750,9.8750,-1.5000,0.3635,1.2422,0.5321,2.7422,0.2115,0.4037,0.1914,-0.7184,0.0783
32,-85.1250,9.8750,-1.0755,0.5701,1.1067,0.7333,2.1822,0.3343,0.3656,0.2805,-0.7220,0.1118
34,-84.6250,9.8750,-0.1933,0.9547,1.4489,0.5321,1.6422,0.4265,0.3902,0.2115,-0.7683,0.0995
35,-84.3750,9.8750,0.8800,0.7333,0.4822,0.8647,-0.3978,0.8647,0.2860,0.3343,-0.6482,0.0535
36,-84.1250,9.8750,0.7444,0.5701,1.0467,0.4955,0.3022,0.9096,0.3892,0.3343,-0.7775,0.0535
37,-83.8750,9.8750,0.0378,0.8647,0.8289,0.9096,0.7911,0.9096,0.4100,0.3942,-0.6839,0.1252
38,-83.6250,9.8750,-0.0067,0.9547,1.1756,0.7764,1.1822,0.9547,0.4999,0.2560,-0.7334,0.1556
39,-83.3750,9.8750,-0.8311,0.6496,2.5533,0.4955,3.3844,0.4955,0.6376,0.0782,-0.7661,0.1252
40,-83.1250,9.8750,-1.7333,0.4603,2.2178,0.4955,3.9511,0.3942,0.5430,0.1118,-0.6487,0.2115
42,-85.6250,10.1250,-1.7156,0.2560,1.5355,0.9096,3.2511,0.1252,0.3129,0.3635,-0.5072,0.0884
43,-85.3750,10.1250,-1.4334,0.3942,1.5533,0.7333,2.9867,0.2805,0.3543,0.3343,-0.5460,0.1118
45,-84.8750,10.1250,-1.6556,0.2805,1.7022,0.5136,3.3578,0.2560,0.6708,0.2560,-0.7409,0.1252
46,-84.6250,10.1250,-0.8622,0.6378,1.3622,0.7333,2.2244,0.4955,0.5292,0.2330,-0.7499,0.0884
47,-84.3750,10.1250,-0.9289,0.6496,1.5844,0.9096,2.5133,0.4955,0.5449,0.2560,-0.8818,0.0783
48,-84.1250,10.1250,-1.6089,0.3942,3.1689,0.3942,4.7778,0.3066,0.6916,0.0783,-1.1155,0.0884
49,-83.8750,10.1250,-0.9311,0.6092,5.0333,0.0409,5.9644,0.1118,0.5092,0.3343,-1.0954,0.0691
50,-83.6250,10.1250,-2.0978,0.2805,4.4356,0.0356,6.5333,0.0534,0.4635,0.3066,-1.0550,0.0884
51,-83.3750,10.1250,-2.7067,0.1914,3.3156,0.1398,6.0222,0.0609,0.5081,0.2805,-1.0172,0.0884
54,-85.6250,10.3750,-1.8911,0.2804,1.1178,0.5321,3.0089,0.1728,0.1962,0.5321,-0.5139,0.1252
55,-85.3750,10.3750,-2.1889,0.1728,1.3467,0.7333,3.5356,0.1556,0.1961,0.5701,-0.5346,0.1118
56,-85.1250,10.3750,-1.1444,0.4603,1.2600,0.5321,2.4044,0.3066,0.2174,0.4265,-0.6778,0.0995
57,-84.8750,10.3750,-0.9400,0.4603,1.0711,0.9547,2.0111,0.4603,0.5665,0.2330,-0.8533,0.0995
58,-84.6250,10.3750,-1.2400,0.4265,1.7333,0.6496,2.9733,0.3066,0.5003,0.2805,-0.9315,0.1252
59,-84.3750,10.3750,-1.7955,0.1728,2.7466,0.6092,4.5422,0.1728,0.6043,0.0609,-1.1706,0.0783
