ID,Lon,Lat,ann_avg,p-ann_avg
3,-83.1250,8.3750,0.1321,0.7764
5,-83.6250,8.6250,0.0645,0.9547
7,-83.1250,8.6250,0.0869,0.8647
9,-83.3750,8.8750,0.0105,0.8203
10,-83.1250,8.8750,0.0184,0.8647
12,-83.6250,9.1250,-0.0753,0.6496
13,-83.3750,9.1250,-0.0537,0.7333
14,-83.1250,9.1250,-0.0428,0.9096
16,-84.1250,9.3750,-0.0890,0.6909
17,-83.8750,9.3750,-0.1007,0.6496
18,-83.6250,9.3750,-0.0889,0.7333
19,-83.3750,9.3750,-0.0752,0.8647
20,-83.1250,9.3750,-0.0628,0.9096
21,-85.1250,9.6250,-0.1300,0.5701
23,-84.6250,9.6250,-0.1577,0.3942
24,-84.3750,9.6250,-0.1510,0.4955
25,-84.1250,9.6250,-0.1126,0.6496
26,-83.8750,9.6250,-0.0985,0.7764
27,-83.6250,9.6250,-0.0771,0.9547
28,-83.3750,9.6250,-0.0708,1.0000
29,-83.1250,9.6250,-0.0540,0.9547
31,-85.3750,9.8750,-0.1618,0.4955
32,-85.1250,9.8750,-0.1758,0.4265
34,-84.6250,9.8750,-0.1868,0.4955
35,-84.3750,9.8750,-0.1584,0.4955
36,-84.1250,9.8750,-0.1046,0.6909
37,-83.8750,9.8750,-0.1066,0.8203
38,-83.6250,9.8750,-0.0750,1.0000
39,-83.3750,9.8750,-0.0600,0.9547
40,-83.1250,9.8750,-0.0504,0.8647
42,-85.6250,10.1250,-0.1704,0.3635
43,-85.3750,10.1250,-0.1685,0.3942
45,-84.8750,10.1250,-0.2083,0.5321
46,-84.6250,10.1250,-0.1967,0.6092
47,-84.3750,10.1250,-0.1672,0.6496
48,-84.1250,10.1250,-0.1263,0.8203
49,-83.8750,10.1250,-0.0508,0.8647
50,-83.6250,10.1250,-0.0138,1.0000
51,-83.3750,10.1250,-0.0065,0.9547
54,-85.6250,10.3750,-0.1832,0.3635
55,-85.3750,10.3750,-0.1833,0.3942
56,-85.1250,10.3750,-0.1982,0.4603
57,-84.8750,10.3750,-0.2414,0.4603
58,-84.6250,10.3750,-0.2413,0.5321
59,-84.3750,10.3750,-0.2268,0.6092
60,-84.1250,10.3750,-0.1967,0.6496
61,-83.8750,10.3750,-0.1193,0.7764
62,-83.6250,10.3750,-0.0796,0.8203
65,-85.6250,10.6250,-0.1916,0.4265
66,-85.3750,10.6250,-0.2063,0.4603
67,-85.1250,10.6250,-0.2322,0.4955
68,-84.8750,10.6250,-0.2762,0.4603
69,-84.6250,10.6250,-0.2809,0.5321
70,-84.3750,10.6250,-0.2740,0.4265
71,-84.1250,10.6250,-0.2631,0.6092
72,-83.8750,10.6250,-0.2161,0.7764
73,-83.6250,10.6250,-0.1829,0.8203
76,-85.6250,10.8750,-0.2078,0.4265
77,-85.3750,10.8750,-0.2306,0.4603
78,-85.1250,10.8750,-0.2623,0.4955
79,-84.8750,10.8750,-0.3096,0.4603
80,-84.6250,10.8750,-0.3205,0.4265
81,-84.3750,10.8750,-0.3227,0.3942
82,-84.1250,10.8750,-0.3201,0.5701
83,-83.8750,10.8750,-0.2716,0.6496
84,-83.6250,10.8750,-0.2448,0.6909
86,-85.6250,11.1250,-0.2347,0.3635
87,-85.3750,11.1250,-0.2496,0.4955
88,-85.1250,11.1250,-0.2852,0.3635
89,-84.8750,11.1250,-0.3146,0.3066
90,-84.6250,11.1250,-0.3319,0.3343
91,-84.3750,11.1250,-0.3492,0.4265
95,-85.8750,11.3750,-0.2475,0.2115
96,-85.6250,11.3750,-0.2571,0.2560
97,-85.3750,11.3750,-0.2676,0.2805
98,-85.1250,11.3750,-0.3032,0.2805
99,-84.8750,11.3750,-0.3431,0.3343
100,-84.6250,11.3750,-0.3723,0.3942
105,-86.1250,11.6250,-0.2136,0.2115
106,-85.8750,11.6250,-0.2529,0.1728
107,-85.6250,11.6250,-0.2691,0.2115
108,-85.3750,11.6250,-0.2821,0.2560
109,-85.1250,11.6250,-0.3282,0.3343
