ID,Lon,Lat,nyears,onset_mx_mn,onset_dy_mn,end_mx_mn,end_dy_mn,min_mn_mn,duration_mn,intensity_mn,onset_mx_sd,onset_dy_sd,end_mx_sd,end_dy_sd,min_mn_sd,duration_sd,intensity_sd
3,-83.125,8.375,30,18.7717,147.0333,19.0169,249.2667,4.6623,102.2333,14.2320,6.0910,15.9038,4.2982,17.6731,1.9488,22.6391,4.0832
5,-83.625,8.625,30,18.5887,154.5667,19.4323,249.1333,5.3917,94.5667,13.6188,6.6571,21.3391,4.5993,21.5402,3.3981,33.3049,5.3172
7,-83.125,8.625,30,20.3067,151.8333,20.9738,248.8000,5.1635,96.9667,15.4768,6.3764,18.6678,4.8141,20.3239,2.0068,25.2634,4.6863
9,-83.375,8.875,30,19.7903,151.1667,21.3739,250.7333,5.1364,99.5667,15.4457,5.8555,20.7515,4.9454,18.1011,2.0810,28.4104,4.4067
10,-83.125,8.875,30,21.4836,144.8000,21.9042,248.2667,5.1306,103.4667,16.5633,6.4905,18.3780,5.3197,19.8267,1.9234,26.4728,5.0056
12,-83.625,9.125,30,17.1412,152.9000,18.5956,256.8333,5.5149,103.9333,12.3535,4.6231,18.9561,3.9872,19.1367,1.8803,24.2856,3.3727
13,-83.375,9.125,30,19.4712,145.3000,20.1728,255.1667,5.7111,109.8667,14.1109,4.8566,16.2887,4.0201,17.9234,1.9284,21.8091,3.2674
14,-83.125,9.125,30,21.3469,144.4333,20.6394,255.2667,5.6218,110.8333,15.3714,5.5756,14.3207,4.6080,17.5792,1.8927,18.7177,3.4346
16,-84.125,9.375,30,14.9908,156.4667,23.1819,246.1333,6.5524,89.6667,12.5339,4.4451,23.4002,4.7074,6.2242,1.7264,24.0249,2.9460
17,-83.875,9.375,30,17.8460,161.4000,18.7591,252.3667,6.7882,90.9667,11.5143,4.4863,17.1174,3.9765,21.3178,2.0827,28.9011,3.8078
18,-83.625,9.375,30,18.3029,155.5333,19.4320,251.6000,6.3036,96.0667,12.5638,3.9919,18.9058,3.8063,20.2818,2.0443,29.5727,3.1882
19,-83.375,9.375,30,19.2333,146.1333,19.3521,253.4667,5.7626,107.3333,13.5301,4.5366,16.9253,3.7457,18.5449,1.8202,24.2961,3.0567
20,-83.125,9.375,30,20.2314,144.7667,18.7740,253.4667,5.3087,108.7000,14.1940,5.3831,14.7243,4.3350,18.4797,1.6890,24.2404,3.2658
21,-85.125,9.625,30,15.3175,157.9667,23.0147,246.1667,5.1202,88.2000,14.0459,5.1296,26.0603,5.4861,6.1030,2.2288,27.7705,3.8328
23,-84.625,9.625,30,13.7682,158.4667,23.5130,246.0667,6.2365,87.6000,12.4041,4.1893,22.2133,4.2376,6.2363,2.2401,22.9025,2.7894
24,-84.375,9.625,30,14.0643,150.4000,22.6108,247.1000,5.9317,96.7000,12.4059,4.2510,21.7027,4.2029,1.4468,1.7434,21.7860,2.7305
25,-84.125,9.625,30,15.7572,152.8000,24.1631,247.1333,6.8717,94.3333,13.0885,4.0776,22.9368,4.7096,1.3578,1.7923,22.6858,2.6968
26,-83.875,9.625,30,21.0472,160.7333,21.5722,248.5333,8.6590,87.8000,12.6507,4.6940,18.9499,4.6504,21.9949,3.0637,33.9436,4.4791
27,-83.625,9.625,30,21.3573,162.1333,21.6375,247.4000,8.6396,85.2667,12.8578,4.3242,19.3261,4.4955,21.5640,3.4197,33.1870,4.1317
28,-83.375,9.625,30,18.7978,155.6000,18.1218,247.6667,7.4639,92.0667,10.9959,4.3488,20.8882,3.7102,25.0356,3.8695,38.9623,3.9979
29,-83.125,9.625,30,17.9026,152.8667,15.8195,243.5333,6.3794,90.6667,10.4816,5.2070,20.8950,4.2884,26.7965,4.2908,36.7530,3.8343
31,-85.375,9.875,30,15.4184,156.9333,23.1900,246.3667,4.8962,89.4333,14.4081,5.3805,24.9232,5.6257,6.1053,2.1871,26.5599,3.9024
32,-85.125,9.875,30,16.3186,156.8000,25.0820,246.2000,5.3740,89.4000,15.3263,5.6154,24.9667,6.0022,6.1161,2.3803,26.6065,4.1170
34,-84.625,9.875,30,14.7767,160.7667,25.9328,246.0333,7.1062,85.2667,13.2485,4.2241,21.5321,4.6231,6.2394,2.3948,22.2973,2.8659
35,-84.375,9.875,30,14.6949,156.0667,24.3127,247.0667,6.9239,91.0000,12.5799,3.8062,23.1813,4.7269,1.4606,1.9642,22.9497,2.8082
36,-84.125,9.875,30,16.5707,157.6667,25.1377,245.6000,8.0155,87.9333,12.8387,3.7593,23.0537,5.3109,7.4306,2.1515,24.2443,3.1571
